"Number","Name","Canton","Published latitude","Published longitude","Coordinate type","Exact start","Parking","Nearest public transport","Primary official source","Last checked","Publication status","Uncertainties / next action"
"73","Brissago Islands","Ticino","46.1343","8.7358","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Brissago+Islands&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"74","Monte San Giorgio","Ticino","45.9139","8.9492","summit","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Monte+San+Giorgio&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"75","Monte Generoso","Ticino","45.9283","9.0197","summit","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Monte+Generoso&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"76","Santa Petronilla Waterfall","Ticino","46.3494","8.9647","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Santa+Petronilla+Waterfall&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"77","Soglio","Graubünden","46.3424","9.5396","village","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Soglio&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"78","Val Roseg","Graubünden","46.432","9.877","valley_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Val+Roseg&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"79","Morteratsch Glacier","Graubünden","46.4167","9.9325","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Morteratsch+Glacier&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"80","Lai da Palpuogna","Graubünden","46.578","9.7845","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Lai+da+Palpuogna&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"81","Jöriseen","Graubünden","46.7785","9.9686","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=J%C3%B6riseen&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"82","Viamala Gorge","Graubünden","46.6608","9.4482","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Viamala+Gorge&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"83","Lej da Staz","Graubünden","46.4975","9.8725","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Lej+da+Staz&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"84","Val Müstair","Graubünden","46.602","10.424","valley_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Val+M%C3%BCstair&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"85","Klöntalersee","Glarus","47.0278","8.9717","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Kl%C3%B6ntalersee&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"86","Oberblegisee","Glarus","46.9696","9.0326","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Oberblegisee&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"87","Muttsee","Glarus","46.8565","9.0185","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Muttsee&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"88","Swiss Tectonic Arena Sardona","Glarus / Graubünden / St. Gallen","46.9225","9.2528","heritage_area_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Swiss+Tectonic+Arena+Sardona&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"89","Seerenbach Falls","St. Gallen","47.1394","9.222","attraction","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Seerenbach+Falls&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"90","Pizol Five Lakes","St. Gallen","46.9785","9.3867","valley_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Pizol+Five+Lakes&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"91","Saxer Lücke","St. Gallen","47.2455","9.4398","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Saxer+L%C3%BCcke&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"92","Fälensee","Appenzell Innerrhoden","47.2531","9.4186","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=F%C3%A4lensee&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"93","Schäfler","Appenzell Innerrhoden","47.276","9.4004","summit","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Sch%C3%A4fler&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"94","Äscher–Ebenalp","Appenzell Innerrhoden","47.284","9.4148","viewpoint","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=%C3%84scher%E2%80%93Ebenalp&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"95","Lungernsee","Obwalden","46.7875","8.159","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Lungernsee&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"96","Älggialp","Obwalden","46.8013","8.2308","village","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=%C3%84lggialp&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"97","Bannalpsee","Nidwalden","46.867","8.428","lake_center","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Bannalpsee&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"98","Isenthal","Uri","46.9107","8.5614","village","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Isenthal&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"99","Sihlwald","Zürich","47.2688","8.5581","heritage_area_reference","Not published — destination reference is not a verified trailhead","Not independently verified","Not independently verified","https://api3.geo.admin.ch/rest/services/ech/SearchServer?searchText=Sihlwald&type=locations&origins=gazetteer&limit=20","2026-08-09","published_source_linked_destination_reference","The representative destination point and source trail are published. Exact access point, parking, public transport, current rules and route metrics remain visibly unresolved."
"100","Stein am Rhein","Schaffhausen","47.65896987915039","8.857444763183594","village","Stein am Rhein railway station, 47.655857, 8.855719","Signed municipal visitor parking around the historic centre","Stein am Rhein, Bahnhof, 47.655857, 8.855719","https://www.urh.ch/stein-am-rhein","2026-08-09","published_source_checked","Individual museums, boat services and parking tariffs have separate current information"
